country,iso_code,primary_energy_consumption,RANK
Saint Vincent and the Grenadines,VCT,0.86,199
Dominica,DMA,0.764,200
Sao Tome and Principe,STP,0.739,201
Micronesia (country),FSM,0.723,202
Tonga,TON,0.71,203
British Virgin Islands,VGB,0.633,204
Cook Islands,COK,0.493,205
Saint Pierre and Miquelon,SPM,0.345,206
Kiribati,KIR,0.315,207
Nauru,NRU,0.271,208
Falkland Islands,FLK,0.187,209
Montserrat,MSR,0.122,210
Saint Helena,SHN,0.054,211
Antarctica,ATA,0.049,212
Niue,NIU,0.032,213
French Guiana,GUF,0.0,214
Guadeloupe,GLP,0.0,214
Northern Mariana Islands,MNP,0.0,214
Reunion,REU,0.0,214
Tuvalu,TUV,0.0,214
Gibraltar,GIB,,219
