year,perc_ren_consumption,perc_coal_consumption,perc_gas_consumption,perc_biofuel_consumption,perc_hydro_consumption,perc_nuclear_consumption,perc_oil_consumption,perc_solar_consumption,perc_wind_consumption
1990,6.603875227748031,28.674992256085947,19.93281372952673,0.13608215427031167,6.048725873619321,6.778699498617638,38.41397725982804,0.0016744410433216677,0.013034787008694346
1991,6.666393152711433,28.233939151932958,20.343556732027615,0.13990238810267616,6.090433489009183,7.0374913576502065,38.13846895774595,0.002125410789325728,0.014082512742096879
1992,6.58588238745342,27.969885742676116,20.377280228998504,0.13991148887948443,5.983258890352543,7.091498890922889,38.421153727706404,0.0018699861726209949,0.015141044291440621
1993,6.861537434234465,28.078568963578636,20.414621977838706,0.14974463265445134,6.239909665882823,7.2983400448883735,37.79862233900456,0.0021931632415638615,0.017999212910889746
1994,6.7644756362384,28.08652435259522,20.34555887353805,0.16118978495199618,6.115750164930805,7.315675265174555,37.95044503117999,0.0023097964788725608,0.022546731150516145
1995,7.105977275830612,27.80301246135432,20.528915928445837,0.16685163885245413,6.440540254439887,7.5375373447000875,37.49497956465987,0.0023837338339758153,0.02577907371355653
1996,7.010923858428157,27.90858917551845,20.680436016819502,0.15524941713613044,6.3571844642983875,7.523844333064238,37.34492906143548,0.00252833418042182,0.027239197547410783
1997,7.098960958260283,27.605454084378355,20.35665005592656,0.15911142403754464,6.416533415961324,7.412867405367092,38.01413925044025,0.002678684047891927,0.03256567984097983
1998,7.035872711811486,27.453077472753947,20.571207216057157,0.16284040952129844,6.335248574431689,7.513180894013933,37.922293548730444,0.002869569572827583,0.03928231491869361
1999,6.999603325212844,27.134210589848617,20.569303512088112,0.16211455403876512,6.281345841525546,7.7082429485099215,38.091039139644174,0.0031198700913223276,0.05062354425355081
2000,6.840315067622931,27.41164799626271,20.83556146353845,0.15337807822649024,6.117937326787827,7.716441730186105,37.69108949680525,0.003479832857277804,0.07046407533589212
2001,6.554767513795308,27.717286419744635,20.742390068326078,0.1509582331240256,5.800575288498119,7.825712561134401,37.677149710225976,0.0046714818014825955,0.0812562371452907
2002,6.699354507750297,28.34950464720046,20.90586522658781,0.1801816418943622,5.857684909030487,7.695982981573668,36.891085262247856,0.005776159077862156,0.11391917238748886
2003,6.52107599734234,29.925487711443534,20.451185244368116,0.1953224246972347,5.642258214120157,7.173412291816914,36.476737388534055,0.006920274315299656,0.12867645070470018
2004,6.7352964592653874,30.692127168294363,19.95686411930842,0.21961720500090848,5.7958685725505585,7.091251565796029,36.06651647563054,0.008683733999742572,0.1690711594194315
2005,6.774065582133539,32.41763668424186,19.503864081488953,0.24768459816818544,5.749224502680226,6.859225342174553,35.01891651110166,0.012004137031532806,0.19144414311301883
2006,6.98494112279342,33.19802955790005,19.404476065221765,0.2970114073497588,5.837553647864502,6.71237471593681,34.28531303057856,0.015856902239977724,0.24938467290857763
2007,7.082722781725499,34.187731980865685,19.648529444669503,0.3733158136181094,5.754331235824693,6.303785204677465,33.39701207734013,0.01984397215010538,0.31545027085430327
2008,7.6780176635972515,34.259807737016146,19.898704493361564,0.48944856542447135,6.095212296491372,6.169212209917827,32.64418669990399,0.0266175148334205,0.41681048305120194
2009,7.930043903005942,34.528691144657344,19.81373792970688,0.5478505726119515,6.097211178183882,6.16367849798373,32.27246404621224,0.03752010241964471,0.5388465282243429
2010,8.130678568895298,34.45298217627386,20.324277096458516,0.577292113355942,6.08891725982125,5.992452329550064,31.853350848854223,0.05836018245364686,0.6523679932324997
2011,8.3741739566375,35.19997127410455,20.368607199731454,0.5820928491593435,6.091132160211914,5.497789796145032,31.327055199582375,0.09847993787920309,0.8348715831861135
2012,8.814843887289946,34.86892585034648,20.654318269864074,0.5821736509176145,6.278662832839421,4.954127857338323,31.52330706867548,0.14519510917126133,0.9932893608473653
2013,9.185081384871769,34.890802029038746,20.734611234259866,0.6358461898742657,6.305977649654963,4.879479653581866,31.186475473001845,0.20433899552738874,1.1624687750610516
2014,9.6864052361349,34.55151451918069,20.72704612066621,0.6629757606575003,6.459427032796972,4.904746480712973,31.084562664223803,0.32447452492544143,1.2852528968364074
2015,10.081889511788996,33.51513806546347,20.924211112030243,0.6832298642578166,6.409606486865729,5.014522536540299,31.50813184211398,0.4403217512046755,1.504838341523793
2016,10.66895762088942,32.19069115218694,21.34241603414738,0.7116857719613087,6.563769629395145,5.004760733340962,31.835816700173012,0.5853284967093864,1.765531482085863
2017,11.194674657244265,31.834023896837866,21.452178560283077,0.7000305165975169,6.502861012520513,4.933855534811522,31.688209648126207,0.8090396375480433,2.0798011932752676
2018,11.591101890004635,31.28375629800187,22.299186756522914,0.7301440212058421,6.393212262409312,4.9027893181826006,31.091178030127708,1.0368227198539965,2.2629105936957448
2019,12.196825927697533,30.74304018998995,22.406044529535603,0.7764878329004761,6.514361696350797,4.971480899381647,30.89778967231172,1.2272500342847785,2.463545145245027
2020,13.290064486392819,30.840021027034503,22.961767042443263,0.7625671172483772,6.85980326748967,4.94631428166839,29.300024124683482,1.4954705876352719,2.83403255179704
2021,13.304781172809225,31.09200679200906,22.87700691380975,0.7693457887694946,6.280079184139541,4.825186813152739,29.26452552428766,1.729099788644049,3.1627491951876965
2022,14.206700919307961,31.13020411099685,22.037236991193517,0.7949850807174441,6.310302599553255,4.523910304050435,29.510006151122752,2.1477270440861473,3.5456277182795857
